id, weight, value
1,43,18
2,0,50
3,51,45
4,45,17
5,29,79
6,27,92
7,59,99
8,25,5
9,67,83
10,16,21
11,54,66
12,11,47
13,48,84
14,51,44
15,66,77
16,68,45
17,82,29
18,42,78
19,51,64
20,34,22
21,74,71
22,55,8
23,50,19
24,82,75
25,77,84
26,91,96
27,49,44
28,75,90
29,94,56
30,98,84
31,50,17
32,40,97
33,98,12
34,61,8
35,41,49
36,42,31
37,29,76
38,17,12
39,100,63
40,76,44
41,26,4
42,5,8
43,42,90
44,67,50
45,88,91
46,3,61
47,35,81
48,4,54
49,44,100
50,52,53
51,91,75
52,41,30
53,77,68
54,76,86
55,84,98
56,6,84
57,61,35
58,62,10
59,99,31
60,29,27
61,19,22
62,41,25
63,19,13
64,95,99
65,97,86
66,21,63
67,53,25
68,3,80
69,19,100
70,33,72
71,44,38
72,64,10
73,15,55
74,55,51
75,87,97
76,38,28
77,86,30
78,87,2
79,42,19
80,82,72
81,8,79
82,16,76
83,72,94
84,11,29
85,64,47
86,67,81
87,47,19
88,67,25
89,35,9
90,21,3
91,4,4
92,73,72
93,4,86
94,93,96
95,28,8
96,1,94
97,42,19
98,26,77
99,8,54
100,18,100
101,75,68
102,20,18
103,91,68
104,80,99
105,6,69
106,64,39
107,76,22
108,5,66
109,44,74
110,64,19
111,0,39
112,78,87
113,29,65
114,71,86
115,87,19
116,59,59
117,74,100
118,44,79
119,28,60
120,23,5
121,83,14
122,63,1
123,82,2
124,25,12
125,42,11
126,100,92
127,54,18
128,98,52
129,64,52
130,73,96
131,95,22
132,40,56
133,4,1
134,46,91
135,45,72
136,86,82
137,54,35
138,59,72
139,46,58
140,56,50
141,36,87
142,40,86
143,52,75
144,88,59
145,7,95
146,58,98
147,42,41
148,72,42
149,25,85
150,18,27
151,75,8
152,31,89
153,54,99
154,59,55
155,34,14
156,13,51
157,31,30
158,97,63
159,9,30
160,4,39
161,38,52
162,10,57
163,34,33
164,5,56
165,63,48
166,43,0
167,31,73
168,59,80
169,56,27
170,53,97
171,78,1
172,50,72
173,86,46
174,80,78
175,3,35
176,37,26
177,80,74
178,85,50
179,50,5
180,95,97
181,42,21
182,30,55
183,42,70
184,37,58
185,4,17
186,85,26
187,5,80
188,59,63
189,81,12
190,28,87
191,63,6
192,67,60
193,92,67
194,83,20
195,97,4
196,8,45
197,54,99
198,93,6
199,94,56
200,61,18
201,59,73
202,41,86
203,2,2
204,27,12
205,91,90
206,58,32
207,97,44
208,15,37
209,45,96
210,31,1
211,70,77
212,0,28
213,26,88
214,13,20
215,75,44
216,46,72
217,70,74
218,42,71
219,4,70
220,51,39
221,99,91
222,9,77
223,20,93
224,88,72
225,98,72
226,55,95
227,19,19
228,67,6
229,91,56
230,61,54
231,28,37
232,56,38
233,59,23
234,22,70
235,42,29
236,21,35
237,10,30
238,14,64
239,46,90
240,36,15
241,76,39
242,48,63
243,55,58
244,53,57
245,56,32
246,47,42
247,96,4
248,95,94
249,11,12
250,98,10
251,50,62
252,85,28
253,51,42
254,38,44
255,28,63
256,5,79
257,32,69
258,3,70
259,21,21
260,37,97
261,1,67
262,6,20
263,82,18
264,17,47
265,17,54
266,6,61
267,44,42
268,99,57
269,40,15
270,6,71
271,96,16
272,17,23
273,94,96
274,87,41
275,45,15
276,96,22
277,17,6
278,14,91
279,0,65
280,76,45
281,18,42
282,86,56
283,7,27
284,71,95
285,57,46
286,52,66
287,36,33
288,24,52
289,61,32
290,62,87
291,11,71
292,68,50
293,32,67
294,2,82
295,26,79
296,74,18
297,88,4
298,88,43
299,5,91
300,38,69
301,88,12
302,88,65
303,23,68
304,89,27
305,67,30
306,79,31
307,65,17
308,30,1
309,43,42
310,1,46
311,43,19
312,92,69
313,73,57
314,91,84
315,30,37
316,16,13
317,32,73
318,97,6
319,82,76
320,24,6
321,93,23
322,0,22
323,1,42
324,65,30
325,95,12
326,80,6
327,37,88
328,44,56
329,87,36
330,5,72
331,40,32
332,80,20
333,25,0
334,83,61
335,29,77
336,83,79
337,68,71
338,58,22
339,53,61
340,83,79
341,2,28
342,25,53
343,74,97
344,59,8
345,72,81
346,90,48
347,81,94
348,52,14
349,58,84
350,25,93
351,5,95
352,30,2
353,83,24
354,71,0
355,56,25
356,19,29
357,7,66
358,95,36
359,8,94
360,81,22
361,52,12
362,27,53
363,20,32
364,53,53
365,76,77
366,80,77
367,66,81
368,82,11
369,21,45
370,75,92
