shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Air Jordan 12 Retro 'Dark Concord',230,214,280,-16,50
Yeezy Boost 350 V2 'Natural',260,255,325,-5,65
Yeezy Boost 350 V2 'Carbon',256,255,285,-1,29
Paris Saint-Germain x Air Jordan 4 Retro 'Bord...,260,267,275,7,15
Off-White x Air Rubber Dunk 'Green Strike',305,299,500,-6,195
Air Jordan 1 Retro High 'Tokyo Bio Hack',210,204,340,-6,130
Yeezy Boost 350 V2 'Israfil',260,245,292,-15,32
Air Jordan 1 Retro High OG 'Crimson Tint',120,239,540,119,420
Yeezy Boost 350 V2 'Zyon',273,245,286,-28,13
Air Jordan 3 Retro 'Varsity Royal',227,220,296,-7,69
Yeezy 700 V3 'Arzareth',389,350,441,-39,52
Air Jordan 11 Retro 'Space Jam' 2016,225,288,450,63,225
Yeezy Boost 350 V2 'Yecheil Non-Reflective',340,299,396,-41,56
Yeezy Boost 350 V2 'Yecheil Reflective',599,299,396,-300,-203
Justin Bieber x Classic Clog 'Drew',70,65,69,-5,-1
Air Jordan 1 Retro High OG 'Gym Red',110,163,220,53,110
Yeezy Slides 'Bone',215,210,265,-5,50
Air Jordan 3 Retro 'UNC',299,345,384,46,85
Air Jordan 3 Retro SE 'Unite',169,184,230,15,61
Yeezy Boost 350 V2 'Clay',283,273,605,-10,322
Air Jordan 11 Retro Low 'Concord-Bred',210,190,300,-20,90
Air Jordan 1 Retro High co.JP 'Midnight Navy' 2020,314,297,378,-17,64
Yeezy Boost 700 'Inertia',375,357,500,-18,125
Yeezy Boost 350 V2 'Desert Sage',294,260,300,-34,6
Air VaporMax Flyknit 3 'Triple Black',139,150,200,11,61
Air Jordan 1 High Zoom 'Racer Blue',263,214,1015,-49,752
Air Jordan 4 Retro SE 'Neon 95',214,210,290,-4,76
Yeezy Boost 350 V2 'Bred',470,750,800,280,330
Yeezy Boost 350 V2 'Sesame',384,358,525,-26,141
Air Jordan 1 Low 'Reverse Bred',105,103,122,-2,17
Air Jordan 5 Retro 'Fire Red' 2020,205,190,215,-15,10
Air Force 1 Low 'Orange Skeleton',215,180,180,-35,-35
Air Jordan 13 Retro 'Lucky Green',188,174,220,-14,32
Yeezy Boost 350 V2 'Black Reflective',800,800,1221,0,421
Air Max 97 'Triple White',140,127,216,-13,76
Air Jordan 14 Retro 'Hyper Royal',222,219,275,-3,53
Air Jordan 1 Low 'Game Royal',110,90,160,-20,50
Air Jordan 4 Retro 'Red Metallic',305,272,350,-33,45
Yeezy 500 'Stone',230,240,410,10,180
Air Jordan 4 Retro 'Pure Money' 2017,350,401,382,51,32
Air Jordan 12 Retro 'Flu Game' 2016,280,350,425,70,145
Slam Jam x Dunk High 'Clear Black',420,439,399,19,-21
Comme des Garçons x Chuck Taylor All Star Hi '...,140,156,175,16,35
Travis Scott x Air Force 1 'Sail',899,1000,1038,101,139
Yeezy Boost 350 V2 'Oreo',760,800,830,40,70
Air Jordan 1 Mid GS 'White Light Arctic Pink',137,128,149,-9,12
Yeezy Boost 350 V2 'Lundmark Non-Reflective',290,277,482,-13,192
Yeezy Boost 700 MNVN 'Triple Black',320,314,365,-6,45
Off-White x Blazer Mid 'All Hallows Eve',720,640,1000,-80,280
Air Jordan 11 Retro 'Legend Blue' 2014,379,354,400,-25,21
Yeezy Quantum 'Quantum',260,199,320,-61,60
Air Jordan 4 Retro GS 'Purple Metallic',245,240,268,-5,23
Air Jordan 14 Retro 'Gym Red',239,240,240,1,1
Air Jordan 1 Retro High GS 'Tokyo Bio Hack',220,230,257,10,37
Air Jordan 11 Retro Low 'UNC',270,123,100,-147,-170
Yeezy 500 High 'Slate',174,166,275,-8,101
Air Jordan 1 Low 'White Camo',116,113,180,-3,64
Sacai x LDWaffle 'White Nylon',374,304,562,-70,188
Yeezy Season 7 Desert Boot 'Cinder',222,283,240,61,18
Yeezy Boost 350 V2 'Yeshaya Non-Reflective',320,298,492,-22,172
Off-White x Dunk Low 'University Gold',474,284,500,-190,26
Air Jordan 1 Low GS 'Gym Red',202,190,175,-12,-27
Sacai x LDWaffle 'Black Nylon',230,235,285,5,55
Ultra 4D 'Triple Black',175,170,200,-5,25
